-0.25 0.0074
-0.25 0.0109
-0.25 0.0145
-0.25 0.0178
-0.25 0.0210
-0.24 0.0240
-0.24 0.0267
-0.24 0.0293
-0.24 0.0317
-0.23 0.0340
-0.23 0.0361
-0.23 0.0382
-0.23 0.0405
-0.22 0.0429
-0.22 0.0453
-0.21 0.0477
-0.21 0.0502
-0.20 0.0526
-0.20 0.0549
-0.19 0.0569
-0.18 0.0589
-0.18 0.0607
-0.17 0.0624
-0.17 0.0639
-0.16 0.0655
-0.15 0.0673
-0.14 0.0692
-0.13 0.0711
-0.11 0.0729
-0.10 0.0743
-0.08 0.0753
-0.06 0.0759
-0.04 0.0762
-0.02 0.0763
-0.01 0.0761
0.01 0.0758
0.03 0.0752
0.05 0.0745
0.06 0.0737
0.08 0.0727
0.10 0.0716
0.12 0.0704
0.14 0.0691
0.15 0.0677
0.17 0.0661
0.19 0.0645
0.21 0.0628
0.22 0.0610
0.24 0.0592
0.26 0.0573
0.28 0.0553
0.30 0.0532
0.31 0.0511
0.33 0.0489
0.35 0.0467
0.37 0.0444
0.38 0.0420
0.40 0.0397
0.42 0.0372
0.44 0.0347
0.46 0.0322
0.47 0.0297
0.49 0.0270
0.51 0.0244
0.53 0.0217
0.54 0.0190
0.56 0.0162
0.58 0.0134
0.60 0.0105
0.61 0.0076
0.63 0.0049
0.64 0.0026
0.66 0.0007
0.66 -0.0009
0.67 -0.0022
0.68 -0.0033
0.68 -0.0043
0.69 -0.0051
0.69 -0.0058
0.70 -0.0063
0.70 -0.0067
0.70 -0.0071
0.70 -0.0076
0.70 -0.0081
0.71 -0.0088
0.71 -0.0095
0.71 -0.0102
0.71 -0.0109
0.72 -0.0114
0.72 -0.0118
0.72 -0.0120
0.72 -0.0121
0.72 -0.0122
0.73 -0.0122
0.73 -0.0123
0.73 -0.0124
0.73 -0.0125
0.74 -0.0126
0.74 -0.0128
0.74 -0.0128
0.74 -0.0129
0.74 -0.0130
0.74 -0.0131
0.75 -0.0131
0.75 -0.0132
0.75 -0.0132
0.75 -0.0132
0.75 -0.0133
0.75 -0.0135
0.75 -0.0213
0.75 -0.0135
0.75 -0.0208
0.75 -0.0205
0.75 -0.0201
0.75 -0.0197
0.75 -0.0193
0.75 -0.0189
0.75 -0.0185
0.75 -0.0181
0.75 -0.0176
0.75 -0.0172
0.75 -0.0168
0.75 -0.0164
0.75 -0.0160
0.75 -0.0156
0.75 -0.0151
0.75 -0.0147
0.75 -0.0143
-0.25 0.0040
-0.25 0.0009
-0.24 -0.0019
-0.24 -0.0043
-0.24 -0.0064
-0.24 -0.0081
-0.23 -0.0095
-0.23 -0.0108
-0.23 -0.0108
-0.23 -0.0121
-0.22 -0.0133
-0.22 -0.0145
-0.21 -0.0157
-0.21 -0.0168
-0.20 -0.0180
-0.19 -0.0190
-0.19 -0.0200
-0.18 -0.0209
-0.18 -0.0218
-0.17 -0.0227
-0.17 -0.0236
-0.16 -0.0247
-0.15 -0.0259
-0.14 -0.0274
-0.13 -0.0292
-0.11 -0.0312
-0.10 -0.0334
-0.08 -0.0356
-0.06 -0.0377
-0.04 -0.0395
-0.02 -0.0411
-0.01 -0.0425
0.01 -0.0437
0.03 -0.0447
0.05 -0.0456
0.06 -0.0463
0.08 -0.0469
0.10 -0.0474
0.12 -0.0478
0.14 -0.0481
0.15 -0.0482
0.17 -0.0483
0.19 -0.0483
0.21 -0.0482
0.22 -0.0480
0.24 -0.0478
0.26 -0.0474
0.28 -0.0470
0.29 -0.0466
0.31 -0.0461
0.33 -0.0455
0.35 -0.0449
0.37 -0.0442
0.38 -0.0435
0.40 -0.0427
0.42 -0.0419
0.44 -0.0410
0.45 -0.0401
0.47 -0.0392
0.49 -0.0382
0.51 -0.0371
0.53 -0.0361
0.54 -0.0350
0.56 -0.0338
0.58 -0.0326
0.60 -0.0314
0.61 -0.0301
0.63 -0.0289
0.64 -0.0278
0.65 -0.0269
0.66 -0.0262
0.67 -0.0256
0.68 -0.0250
0.68 -0.0246
0.69 -0.0242
0.69 -0.0239
0.70 -0.0236
0.70 -0.0235
0.70 -0.0233
0.70 -0.0230
0.70 -0.0226
0.71 -0.0221
0.71 -0.0216
0.71 -0.0210
0.71 -0.0206
0.72 -0.0203
0.72 -0.0201
0.72 -0.0201
0.72 -0.0202
0.72 -0.0203
0.73 -0.0205
0.73 -0.0206
0.73 -0.0207
0.73 -0.0208
0.74 -0.0209
0.74 -0.0210
0.74 -0.0211
0.74 -0.0212
0.74 -0.0213
0.74 -0.0214
0.75 -0.0214
0.75 -0.0215
0.75 -0.0215
0.75 -0.0215
0.75 -0.0215
0.75 -0.0213
